recno,Name,f_Name,Dist,e_Dist,logBHMass,E_logBHMass,e_logBHMass,logsigma,e_logsigma,logLk,e_logLk,logRe,e_logRe,cov,C28,e_C28,logAGN,e_logAGN,Meth,Refs,SimbadName,NED,_RA,_DE
227,UGC3789,,49.9,5.4,6.99,0.09,0.09,2.03,0.05,11.01,0.12,0.66,0.11,0.05,5.7,0.5,,,maser,52,UGC3789,NED,109.87872,59.35513
228,UGC6093,,150.0,15.0,7.41,0.02,0.02,2.19,0.05,11.40,0.08,0.97,0.05,0.05,3.8,0.3,9.26,3.14,maser,34,UGC6093,NED,165.19981,10.72827
229,UGC7115,,88.2,8.8,9.00,0.45,0.45,2.25,0.08,11.24,0.09,0.54,0.07,0.06,6.1,0.9,,,gas,7,UGC7115,NED,182.02321,25.23727
230,UGC9799,,151.1,15.1,8.89,0.80,8.89,2.37,0.02,11.99,0.09,1.37,0.06,0.05,4.5,0.3,,,gas,19,UGC9799,NED,229.18536,7.02167
231,Mrk0110,1,151.1,15.1,7.28,0.21,0.21,1.96,0.03,10.58,0.10,0.77,0.07,0.07,3.0,0.5,10.82,0.00,reverb,71,Mrk0110,NED,141.30363,52.28625
232,Mrk0279,1,130.4,13.0,7.40,0.23,0.23,2.29,0.03,11.29,0.08,0.42,0.08,0.09,5.2,0.9,11.21,0.02,reverb,71,Mrk0279,NED,208.26390,69.30804
233,NGC1068,1,15.9,9.4,6.92,0.25,0.25,2.18,0.02,11.32,0.40,0.32,0.20,0.20,4.6,0.4,10.62,0.02,maser,53,NGC1068,NED,40.66988,-0.01329
234,NGC1300,1,21.5,9.4,7.88,0.34,0.34,2.34,0.02,11.05,0.34,1.09,0.17,0.17,3.4,0.4,,,gas,1,NGC1300,NED,49.92116,-19.41136
235,NGC2139,1,23.6,2.4,5.18,0.43,5.18,1.34,0.08,10.36,0.08,0.47,0.04,0.04,2.9,0.1,,,star,61,NGC2139,NED,90.28318,-23.67232
236,NGC2911,1,43.5,4.3,9.09,0.29,0.29,2.32,0.03,11.28,0.10,0.88,0.12,0.08,6.3,0.3,,,gas,7,NGC2911,NED,143.44208,10.15259
237,NGC3516,1,37.9,3.8,7.37,0.16,0.16,2.26,0.01,11.11,0.11,0.40,0.13,0.10,7.1,0.8,9.98,0.11,reverb,24,NGC3516,NED,166.69789,72.56853
238,NGC4041,1,19.5,2.0,6.00,0.20,6.00,1.98,0.02,10.61,0.10,0.24,0.11,0.06,4.4,0.7,,,gas,55,NGC4041,NED,180.55072,62.13729
239,NGC4636,1,13.7,1.4,8.58,0.22,0.22,2.26,0.02,11.25,0.09,0.96,0.08,0.06,5.5,0.4,,,gas,7,NGC4636,NED,190.70778,2.68778
240,NGC4699,1,18.9,2.1,8.25,0.05,0.05,2.26,0.01,11.38,0.11,0.49,0.12,0.08,5.6,0.6,,,stars,75,NGC4699,NED,192.25911,-8.66430
241,NGC4736,1,4.5,0.8,6.78,0.12,0.12,2.05,0.02,10.67,0.16,0.00,0.12,0.09,6.2,0.5,,,star,49,NGC4736,NED,192.72145,41.12015
242,NGC4826,1,5.2,1.2,6.05,0.13,0.13,1.98,0.02,10.71,0.19,0.38,0.12,0.09,4.7,0.4,,,star,49,NGC4826,NED,194.18207,21.68266
243,NGC5018,1,40.5,4.9,8.02,0.08,0.08,2.32,0.01,11.54,0.09,0.62,0.06,0.05,5.5,0.3,,,stars,75,NGC5018,NED,198.25417,-19.51830
244,NGC5194,1,7.9,0.8,5.96,0.36,5.96,1.84,0.06,11.04,0.10,0.73,0.08,0.05,4.9,0.6,8.36,0.23,gas,7,NGC5194,NED,202.46957,47.19526
245,NGC7469,1,47.7,8.1,6.94,0.16,0.16,2.12,0.02,11.12,0.15,0.00,0.17,0.15,8.4,2.8,,,reverb,72,NGC7469,NED,345.81531,8.87369
