recno,Name,f_Name,Dist,e_Dist,logBHMass,E_logBHMass,e_logBHMass,logsigma,e_logsigma,logLk,e_logLk,logRe,e_logRe,cov,C28,e_C28,logAGN,e_logAGN,Meth,Refs,SimbadName,NED,_RA,_DE,lum_compactness
88,NGC3245,,21.4,2.0,8.38,0.11,0.11,2.25,0.02,10.86,0.09,0.39,0.05,0.05,5.5,0.3,9.26,0.15,gas,2,NGC3245,NED,156.82652,28.50744,10.08
89,NGC3310,,17.4,1.7,6.7,0.92,6.7,1.92,0.02,10.42,0.09,0.07,0.08,0.05,4.7,0.8,,,gas,70,NGC3310,NED,159.69107,53.5033,10.28
90,NGC3351,,9.3,0.9,6.52,0.26,6.52,1.97,0.07,10.76,0.1,0.59,0.11,0.06,4.9,0.4,,,gas,7,NGC3351,NED,160.99055,11.70361,9.58
91,NGC3368,,10.4,1.0,6.88,0.08,0.08,2.08,0.09,10.95,0.07,0.49,0.06,0.05,5.7,0.4,,,star,65,NGC3368,NED,161.6906,11.81994,9.969999999999999
92,NGC3377,,11.0,0.5,8.25,0.25,0.25,2.11,0.02,10.52,0.06,0.36,0.11,0.06,5.9,0.4,,,star,78,NGC3377,NED,161.92667,13.98564,9.799999999999999
93,NGC3379,,10.7,0.5,8.62,0.11,0.11,2.27,0.02,11.01,0.06,0.48,0.09,0.05,6.3,0.5,,,star,87,NGC3379,NED,161.95667,12.58163,10.05
94,NGC3384,,11.5,0.7,7.03,0.21,0.21,2.14,0.02,10.85,0.09,0.49,0.21,0.14,7.1,0.7,,,star,78,NGC3384,NED,162.0704,12.6293,9.87
95,NGC3393,,49.2,8.2,7.2,0.33,0.33,2.17,0.03,11.15,0.15,0.78,0.11,0.09,5.8,0.4,9.52,0.14,maser,47,NGC3393,NED,162.09778,-25.16203,9.59
96,NGC3414,,25.2,2.7,8.4,0.07,0.07,2.28,0.02,10.99,0.11,0.46,0.08,0.05,5.5,0.3,,,stars,15,NGC3414,NED,162.81767,27.97497,10.07
97,NGC3423,,14.6,1.5,5.18,0.67,5.18,1.62,0.07,10.35,0.09,0.71,0.07,0.04,3.6,0.2,,,star,61,NGC3423,NED,162.80975,5.8401,8.93
98,NGC3489,,12.1,0.8,6.78,0.05,0.05,2.01,0.02,10.6,0.07,0.18,0.08,0.06,5.9,0.5,9.15,0.05,star,65,NGC3489,NED,165.07745,13.90126,10.24
99,NGC3585,,20.5,1.7,8.52,0.13,0.13,2.33,0.02,11.42,0.07,0.8,0.07,0.04,5.7,0.3,,,star,37,NGC3585,NED,168.32129,-26.75499,9.82
100,NGC3607,,22.6,1.8,8.14,0.16,0.16,2.32,0.02,11.35,0.07,0.6,0.09,0.05,5.8,0.5,,,star,37,NGC3607,NED,169.22774,18.05181,10.15
101,NGC3608,,22.8,1.5,8.67,0.1,0.1,2.23,0.02,10.92,0.07,0.47,0.06,0.04,5.5,0.3,,,star,78,NGC3608,NED,169.2457,18.14853,9.98
